sentiment,text
0,"I've been to this location a few times now, and I guess it's time for me to write a review of this place.  Honestly, of all the grocery stores big and small here in the Valley, Trader Joes is probably my least favorite.  Over the years, I've tried to like them..trust me, I've TRIED. I just can't get into the Trader Joe's scene.\n\nIt's not one particular thing that turns me off about Trader Joe's, but maybe its a variety of small things that irk me. For starters, I find thier food selection odd.  Mostly prepackaged stuff, with no deli, meat counter,  and very little name brand stuff.  I know I know, I don't need to buy every single thing name brand, but there are some things name brand that I prefer over others.  Plus, when I buy lunch meat, I want to go to a Deli Counter and get it, which they do not have.  Just prepackaged meats n cheeses.\n\nI tend to buy mostly sandwiches here during lunch hour.  Their fair priced, and right there.  The first few times I went here, I was getting a Tuna Sandwich on whitebread.  I liked it, and started buying it on a regular basis.  Then, they stopped making it.  Why?  I dunno, but I haven't seen it in like 3 weeks.  Just when I start liking something, it vanishes.  Now all they have are tuna wraps, but they arent as good as the sandwiches.\n\nAs for grocery shopping on a weekly basis, I will probably never be a regular here.  The reason I frequent this Trader Joe's is because its A) close to my office, B) there's a decent sandwhich selection readily available, and C) thier staff is always friendly and helpful."
1,Amazing service! And the food is bomb!!! Love it! The fried ice cream is to die for!!!
0,Waited an hour as a new patient even when told to come 30 minutes early... About three women were taken back before me. Every station or room I went I waited even longer. And not only that but the nurses were condescending and also a little strange. By the time I saw Dr. Gatlin it had been two hours since I arrived. As a new patient is this how you want me to remember your office?
0,"So my family and I tried to get some yogurt here but there was a notice on the door that the owner hasn't paid the rent and the landlord kicked them out as of 1/11/13. Oh well, there's Yogurt+ down the street at least."
0,"I went here a few different times. Fine dining? NOT! How would you like to be sitting down in a place where all they do is smoke while you eat? The waitress takes a half an hour just to come and greet you upon arrival (self-seating), not to add she doesn't even have a smile for you when she finally gets to your table. First time there I had some food and didn't feel good the next day, second time there I just drank juice/coffee cuz I was scared to eat there again. Third time I sat outside and had a glass of wine and waited an hour and a half to get my dang bill, then decided I better go in and ask for the check myself."
1,"The Tri Centre is located in the middle of the busy and bustling South Clerk street and is heaven for all the sporting enthusiasts. The shop sells everything you could ever need to either compete in a triathlon, or just to go for a jog or a bike ride. The staff in The Tri Centre are incredibly knowledgeable about all the stock they sell and are happy to advise customers on which goods, such as bikes or wetsuits would be best suited to what they are keen to do. \n\nOne of my friends is a keen triathlete and is always in this shop buying new running or swimming gear. The good thing about The Tri Centre is that you don't have to be a sporting obsessive to go into the shop as it is great if you just want a good pair of running shoes or a decent bike. The quality of the goods is excellent which is reflected in the price - about \u00a380 - \u00a3110 for trainers. They also sell lots of accessories such as hats, gloves, sunglasses, bike wheels and energy food."
0,"I'm happy that we only stayed here for one night (only because we were partying at Hakkasan) because our stay at MGM was disappointing... and we only stayed there for less than 12 hours before checking out and checking in early to our next hotel.\n\nThe check-in process was time consuming.  Even though we got in at 11:30 PM, there was still a long line that went past the ropes and it took us about 45 minutes to go through the line.  We had a pleasant check-in experience with the front desk concierge, who kindly upgraded us to a bigger room for no extra charge.\n\nThe hotel itself tries to do aroma marketing, but it's way too strong.  The smell reminds me of a mix of Chanel No. 5 and vanilla.  Our room was located at the North Tower, and there were no actual signs on the boards that lead us to the tower.  We had to ask two associates before receiving the correct directions.\n\nOur room was a little small for Vegas standards and the bathrooms were even smaller (with only one sink for 2 queen beds!).  The mirror was the best thing about the bathroom because it had great lighting. (A plus for the ladies!)  Another plus about our hotel room was that the scent of the aroma marketing wasn't used there.  On the other hand, there was a variety of different dining options located throughout the hotel that were available."
0,"4/11/13\n\n2.50 stars...\n\nVisited for the first time today to have my hybrid car's oil changed.  As usual, car dealerships tend to be costlier than independent auto shops, but my last few visits to the dealership has left me very suspicious of how much I'm being charged and what services are actually being performed.  I decided to check Yelp for options and stumbled upon a review by a Yelper I met once, a long time ago during a vegetarian meetup (I think), and he suggested I look up a valley car care radio and TV personality Mark Salem's website.  On it, I found a few shops that can service both our Toyota hybrid models.  After a few emails with a couple of Scottsdale shops' managers, I decided to try Whitey's.  The other shop gave me a quote for a complete maintenance service ($$$) that was almost as much as what I'd pay at the dealership, whereas Whitey's general manager Scott Almhjell gave me the option of just getting an oil change, which includes an inspection that would then tell me if the car needed more work.  (Our hybrid models' oil only needs to be changed every 10K miles, instead of the standard car model's usual 5K req.)  I'm now wondering if I should've just gone with the other shop to get the full service, as I don't want to skimp now, and pay heavily later.\n\nI suppose I would've left a lot happier had the shop washed my car.  I wasn't EXPECTING that Whitey's would do so, but excellent customer service usually gets the customer to return.  I know that the dealership would've done so, but I also understand that the dealership has a Danny's Car Wash next door to it.  I very much appreciated that my contact at the shop, named Sean, had someone available (Alex) to drop me off at the restaurant of my choice, less than a mile away, so that I could have breakfast while the car was being worked on, and that I was able to enjoy a nice, long stroll around Civic Plaza before calling the shop so that I may get a ride back.  There certainly was ample time to wash the car, and this would certainly have created the warm buzz of positivity about taking my business here and would've guaranteed my return for another service, possibly one that would cost a couple of Benjamin Franklins and change, instead of the $35 plus tax that I was charged for today's oil change.\n\nI'm omitting an observation I made when I returned to my car after I'd paid for the service, because I don't want to seem too critical, and I was truly hoping I'd find myself able to trust this auto shop for both of our hybrids' care.  Probably not going to be a repeat customer."
0,"I heard and read about this place here from yelp and others I know. So finally I went to give it a shot only to realize ehhhh it was not really worth the long wait (45 minutes for party of 4)  and the drive for me. I ordered the egg Benedict one of my only favorite breakfast items. I just did not care for it!! Something about it and the textures of the whole thing did not go together. I ordered it standard with no tweaking or changing and to me it just did not do it, the other dish I had tried was the coned beef with potatoes and eggs that was alright. Probably better in my opinion than the egg Benedict if you had to choose.   Over all I do not think I would do it again."
0,"I walked into Black Bean, and then promptly had to walk back out and re-examine the artist formerly known as Ginza. I was taken aback by the prodigious amount of Chinese writing that I saw, before realizing that they are both a Cuban and Chinese restaurant.\n\nExcited at the prospect of a marvelous Cuban Sammie and Authentic Chinese, I ordered the latter and some of the former.\n\nThe food arrived quickly....almost too quickly. My girlfriend and I opted to split and sample. She once made me fall in love with a Cuban Sandwich that she had made, so I expected a near orgasmic experience from an authentic Cuban. \n\nAlas, my gastro-consumation was an awkward affair. The sandwich was very bland. The bread was not toasted, and every ingredient seemed to be indistinguishable from the next. One of the hallmarks of a good Cuban is toasted bread, a distinct layer of crunchy pickle, and delicious slathering of mustard. This had none of that. \n\nThe authentic Chinese menu seemed to have many devoted patrons, though I found ours once again to be bland. Perhaps I did not order this one correctly among the myriad of choices."
0,Was dead bored and fell asleep.  zzzzzzzzzzzzzz.
0,"I was supremely excited about a revolving sushi restaurant. I was severely disappointed. The sushi was mostly rice, which is just bad form. The flavors were almost nonexistent. The quality of the fish was obviously poor, it was tough and chewy. The dessert was a joke! There was a cheap variety of desserts I wouldn't touch with a ten foot poll. The server was very friendly, but took a long break right in the middle of our visit, so when we went to pay, it was very confusing and we ended up staying an extra ten minutes due to confusion amongst the servers and the misplacing of our check. It was ridiculous. It was a fun time, because my inexperienced boyfriend got to try out a bunch of different kinds of rolls, but I would not ever choose to go back willingly."
0,closed for ever
0,"We had horrible service! I couldn't believe how rude our waitor was when my friend asked a question about the butter, garlic sauce. The reply we got was \""it's butter & garlic\"" wow, they pay you to say that??!! When I ask for suggestions & ask what a sauce tastes like & what the base is I want a server that's going to be happy to tell me about the menu & the food. The chicken parm was ok but not very flavorful & I didn't  like the garlic cheese bread. Overall didn't like it & will not come back. Olive Garden & Bucca de Beppo are much better & have way friendlier servers!"
1,"Hubby and I finally made it here last night. The area is definitely a little shady and the restaurant itself is surely nothing special to look at. We walked in and nobody was there. No biggie; I was trusting fellow Yelpers that it was good. The lady that waited on us was super duper nice. The chips weren't the freshest, but the salsa was awesome. It had a nice heat, which we love. We each ordered a crab tostada, and you could definitely tell it wasn't the fake stuff. It tasted good, until about halfway in I started getting too much lime flavor (which I don't care for) so I let hubby have the rest. He gobbled em up and loved every bit. Next came our molcajete. We obviously had to order them due to the rave reviews. I loved the presentation. Hubby got the mixed seafood one, which was shrimp, octopus, and snail. I opted for just shrimp. The tortillas it comes with are fresh and warm and delicious. The soup is spicy and flavorful and pretty damn good. I did, however, get a few shrimp that tasted a little funny. I don't think they were rotten seeing as I'm not sick, but just tasted a little off. The tomato broth did kinda make me \""gaggy\"" toward the end but overall it was tasty. We had a restaurant.com certificate, and the total bill + tax came to $50 or so, but we only ended up paying $27. Hooray for discounts! :)"
0,Very average Spanish food. In fact I found the paella to be extremely oily.  Way overpriced for what you get for your dollar. I added a star just for the outdoor patio.
1,A couple girls from work get takeout from Los Favoritos multiple times a week. I was invited in on one of their lunches one Saturday and have been hooked since. Everyone is always very friendly and the food is always delicious. Keep it up!
1,"Chuck has been working on my cars since 1981.  For me, that's a whole lotta cars over the years.   Don't let the \""hole in the wall\"" appearance fool you; they know cars, and will treat you like family.  \n\nThe employees have been there forever.  They are prompt and exceedingly honest.  Their pricing is amazing, and if they can fix your car and save you money at the same time, they give you the options in plain English.  When possible, they'll give you the choice of used parts, reconditioned, or new.  If it's going to take a few days to fix the problem, they'll tell you up front.  \n\nYou can count on an honest estimate and top notch service.  And you can always count on a friendly conversation and a laugh or two."
0,"I have had 2 experiences with this company. First was to get a quote for a piece of antique furniture going to a Beverly hills auction house. emails were sent back and forth then suddenly stopped. phone calls were made and were always told that they were busy and would call me back. after a week I got a call back and was told that somehow the emails were suddenly sent to the \""spam\"" file. The second time was when one of their trucks ran into my husbands truck at Turnberry towers and never returned my phone calls or emails."
0,"So after not dining here in a couple months, I decided to give it another chance and took my sister for sushi. \n\nSuch a horrible idea, complete waste of money. \n\nWe ordered 5 rolls between us. The vegas roll (which is usually pretty good) was soggy, the lisa lisa roll was much too sweet, one of the other rolls was fishy and all of them were falling apart. They put everything on one plate, so half the rolls were covered in the sweet sauces from the lisa lisa, it did not mesh well at all.\n\nIt also took a good 25 minutes to get our sushi, when there were only 2 other parties in the whole place. \n\nOn the up side, we actually got a waiter who wasn't absolutely horrible. He wasn't good enough to make up for the meal though."
0,"Save your money\nThe highlight(s) is when Teller performs his illusions alone. Penn is given to dissertations, lectures, explanations, and generally boring banter about what is to happen next. The \""trick\"" is sort of anticlimactical to his banter, which by the way is difficult to understand because he speaks so quickly."
0,"So I bought 1 item. After payment went through I remembered I had a coupon. I asked the cashier Susan if I could use it. Susan said \""but it's done already.\"" I asked if she could void it. So she voids and asks \""so you don't want it anymore?\"" I said that I do but I just wanted to use my coupon. As she is ringing me up again, she tells her coworker next to her \""she's just doing this to get another extra care buck\"". I did not even KNOW that another one would print out. She could've waited til I left the store to talk smack about me instead of me standing 2 feet in front of her!"
0,"I only went here to have a few drinks, and talk with a friend who wasn't sure if he wanted to eat or not. We were escorted to a table and were cool, the waitress was friendly and tentative since our conversation was rollin'. Long story short we were there for 5 hours, just drinking, and if our waitress could of re-worded her words, our experience wouldn't have been so sour. She came over and stated \""I'm leaving here is the check, if you would like to stay you're more then welcome to order from the bar.\"" So we continued to talk not thinking anything of it, or someone was going to pick up her tip. WELL not two minutes later she comes back to us and says \"" IM LEAVING, I need you to pay your check.\"" At this point me being me, gets a little annoyed, as my friend is looking at me like no she didn't! So he paid as a gentlemen do, and we continued the night, as they dimmed the lights and shut off the music we got the hint we've been talking way to long. If she could have been a tid more polite, it would have been a good experience. The atmosphere was great, the food looked good, but your sour mouth ruined it all."
1,"This is some of the best Chinese delivery I've ever had, and I've gotten delivery in Soho, NYC before! A bit pricey for delivery, but after you have a bite you'll know why. Scrumptious! Quick delivery too!"
1,I'm very glad that I can go here to get my lashes done by Cindy... She does a beautiful job. I feel so pretty when I leave the salon...  I highly would  recommend this place and Cindy..
0,"SMALL, sticky, hot, 2 tiny kiddy pools, OVER-priced 50 girls to 1 guy. Not my thing at all."
1,"I'm just writing this review to say what everyone else is saying: Shinbay is EXCELLENT.\n\nThe service is top notch, quick, unobtrusive and suits the atmosphere of this restaurant. Our fabulous waitress didn't make a misstep. I was here for my birthday and they just found out when we walked in, at the end of dinner the whole staff had signed a birthday card for me! What a thoughtful touch.\n\nThe food is incredible. The courses are fresh and original, definitely unique and cutting edge. This is statement food. Every taste was defined and fresh. There wasn't a sloppy dish to be had. It was beautifully presented and some of the freshest I've ever had. \n\nAnd I have NO idea what people are talking about when they say 'strip mall.' Have you even been to some of the stores or restaurants around there? Definitely high end. I get my hair done in this 'strip mall' and it's by far one of the best salons around. I was seriously looking for a strip mall and instead walked into a beautifully lit corridor that opened up to several beautiful restaurants that led straight here. We walked in and the ambiance and the decor was incredibly high end. Must be that affected Scottsdale attitude coming out (live in NYC/DC/Beverly Hills and then stick your nose in the air, please). \n\nThis place is beautiful, the food is like nothing I've tasted here yet and I can't wait to go back. I am addicted!"
0,"I brought my 2005 Honda CRV in because the air conditioner was blowing warm air.  I made an appointment and dropped my car off there because it's fairly close to my sister's house which is where I wanted to wait. Thirty minutes later they called me to ask approve a $48.00 diagnostic check. No problem, I tell them.  1 hour after that they call me to tell me that my air compressor is locked up. I ask what it would cost to fix it.  I was shocked when he quoted me $2235,00 total, parts and labor. When I picked my car up the cashier told me that the compressor was $650.00. The labor is what brought it up to $2235.00. I talked to many friends who suggested I check out either Amazon or EBay for a brand new compressor then take to a local mechanic for installation. BRILLIANT! I purchased a brand new air compressor for my car for $115.00 from Amazon with free shipping. I then took that up to Angel's Auto Repair and they charged me $300.00 to install and that included the freon. I don't understand why Pep Boys charged so much but I appreciate the honesty and integrity from Angel's Auto Repair. My air is nice and cold now!"
1,"Stick E Rice brought a menu by my office and we have literally eaten there since day 1. My favorite item is the orange chicken but I have tried several others and always loved what I ordered. My co-workers have always given the food rave reviews as well. \n\nMy only complaint is that delivery usually takes about an hour but, it's understandable since it seems to be a fairly small establishment. We have however had them throw in extra items if they took a long time."
0,"Save yourself, DO NOT go here!\n\nSee AMber W. - place is empty, you provide a service that results in tips, it's a recession, be lucky you have a job, how 'bout you be a little nicer?!?!?  \nHer review was almost a year ago, well they haven't changed!  \n\nThis is the third time I've been here and each time it's worse!  \n\nMy boyf enjoys the herb crusted burger, it's not bad.  But, to have to put up with sourpuss jerks, NOPE, not fabulous enough!!!  I had a burger, nothing to write home about...\n\nAnd, along with very dismal depressing servers & bartenders, it stinks like a night after a chorus of Englishmen singing rugby songs till morn were there (it stinks every time we've been there), and the wonky unstable chairs, and the not so great pricing, please find a reason why you should hurt yourself by going to this awful dwelling!\n\nThis is a review from three separate spaced apart visits, one lunch, one an event, one dinner, I've earned the right to give this place negative stars, dammit, I can't...!\n\nOh, and by the way, the tots are NOT good x 3!!!"
1,Found them on Yelp and if I could add a sixth star I would.  Quick repair on my son's MacBook Pro (broke the LCD inside but not the screen).  I am great with computers and even repair and upgrade my own but this repair I did not feel comfortable doing.  \n\nPricing was great as well as customer service.  I have 7 computers at home and definitely will use them when things go bad.\n\nThank you!
0,I liked the atmosphere but the food was WAY too salty.  Just didn't care for it.
1,I've been to Roxy's twice this month and so far the service has been consistently ok. I ordered the burger during both visits and thought it was consistent too. The service is great during both visits but much like most Vegas restaurants you feel a bit rushed.
0,"I had these guys install a set of 8000K HIDs for my headlights and foglights.  Upon completion, I found that when turning on the headlights normally, one bulb was out.  However, I was able to activate it by flipping my brights on and then turning them off every time I needed my lights.  I didn't know it at the time but this was a HUGE red flag.\n\nFast forward to less than a year later... my wife and I move out of state and while turning on my car at night to drive home from work, I find my foglights and the one headlight are not working.  I let it go for a while as its the peak season for the industry I'm in and don't have time to bring it somewhere for fixing.  Which would turn out to be my next mistake.  Finally, the inevitable happens... the last headlight goes out.  So... here I am, less than a year after I purchased these lights and both headlights and foglights are out.\n\nI bring it to a local shop to have the HIDs taken out and go back to stock bulbs. They have had the car for a week now because the people who installed it literally cut the wiring for who knows what reason causing me to spend an extra $200 to re-wire my headlight assembly (I didn't have the fix the foglights which I can imagine will be another $100-$200).  \n\nI gave these guys a 1-star only because I couldn't give a \""0.\""  I wouldn't wish the poor service these guys do on my worst enemy."
0,"I ate hear and the waitresses were cute but looked like they were on strung out on meth. The burger was good for the first 2 bites then the taste became very monotonous, I would not go here again."
0,I'm giving this place two stars because I liked the costumer service! The guy was extra friendly. The burger was one that could have been thrown together at home & did not fit the bun & the fries were only so so the ketchup was running and tasted funny.
0,"Great sound as soon as you get through the front doors.  The set up is pretty neat too, general admission standing, with different level floor, so there is good visibility every where.  And if you can manage to get up front you are literally in arms distance from the performers it's sweet! \n\nThe bartenders were super friendly.  I brought in a reusable cup for water and the bartender was nice enough to keep it full of ice and H2O for free all night!  However, if you looking for adult beverages than you better bring a fat wallet with you because prices are out of control!  \n\nAnd although the bartender couldn't have been sweeter and the door security guys were polite and patience, the security dudes inside were NOT friendly which is the reason for the low rating. I understand that they are there to keep the crowd contained for safety reasons but they are a bit over zealous... I mean to constantly harass anyone that accidentally steps over the line that defines the area you can stand in front of the stage when it's a pack show and every one's dancing or reprimanding anyone even leaning on the railing during set break of a 3 hour show is a bit extreme.  I'm all for safety first but they were just a buzz kill.  With ticket prices are high as they are you would hope that your experience would be customer friendly.\n\nHowever, despite to rude security gang I will surely dish out the dough and find myself shaking it down here in the near future because lets face it, they get great bands and I'm a slave to the music."
1,"Wanna get plastered off sweet and girly margaritas by the yard? Check.\n\nWanna be one of those people walking down the strip with their obnoxiously long bottles? Check.\n\nWant extra shots of 151 for $1 each? Check.\n\nWant cheap refills so you can do it all over again? Check.\n\nYou get the idea. There's never any regrets with Fat Tuesdays... hangovers and brain freeze included for free. There are several locations on the Strip but this one inside Planet Hollywood Miracle Mile is the one I frequent the most. Also located inside MGM Grand, Caesar's Forum Shops, Imperial Palace, Mandalay and Stratosphere. Happy drinking!"
1,"Pretty good venue to be at. I am here for a New Years party and the turn out is good for being early still. Nice set up they have here. The VIP sections here are pretty live. They play a variety of music. New and old school hip hop, R&B and top 40 music."
1,"Scrumptious. So many flavors, so little time..."
0,"Where do we start? The place is hot, dusty, very crowded, and so disorganized. Okay that aside, the reason why were giving this event a 1 star ( 0 if possible) is the false advertisement to  various ticket sellers. They proudly say \"" trucks are asked to sell food on low price\"" this is well printed and customer service even answer this question on their website. Well let me save you the precious time, money and save you from getting angry. Not only you have to pay (12) dollars for entrance, you also have to pay parking (5). The websites also says \""trucks will gove samples\"", well were the hell have you seen a place to ask (2) dollars for a sample? Yes! You read that right, samples have prices. Yet this is still not the worst part, when you start to go to their trucks you find out that thr prices are not only expensive it also feels like your getting rip off by the price!!!!! Heres the sample of prices (2 dollars on the following)- eater, soda, 1 minicupcake. (4 dollars) 1 medium size cupcake. (6 dollars) lemonades, shakes, sundaes. 8-16 dollars are the prizes for the maim foods like bbq, burgers, etc. In the end of the day you end up paying 150 ir more just trying foods. With that prize I could have bought a nice dinner and good lunch on a good restaurant. This is not only a rip off, its obviously a misleading event. Oh and did I told you that alot of their foods are mediocre at best? Also some events were cancelled when we went, so unorganized. YeaH WE Will never comeback and will spread the word. Alot of people are still going to it, feels like alot of people dont use yelp ( 2012 was the only event related on yelp). \n\nI hate this event. I really do."
0,"The way I like to make my first judgement about Mexican food is the guacamole. This guacamole was terrible. It was so acidic that  it sizzled on your tongue. Salsas were flavorless as was the rice and beans. I ordered chicken tacos which were fair at best. Chicken was not seasoned and a little dry. We shares a bowl of tortilla soup which tasted so smokey, you couldn't taste anything else. Service was decent for a casual place. Wouldn't come back again"
1,"This place is awesome.\n\nCame here for lunch at about 1:30PM, so it was pretty empty. First thing you notice is the extremely white and sleek decor; I thought this place was like a tech company or something when I was walking in. The staff is really attentive and nice; after reading some of the other reviewers I really don't understand the problems with the service. They have cute little water pitchers and tall, skinny glasses so you never have to go thirsty but you can still have water in a reasonably formal manner. It's a little bit pretentious, I admit, but it worked for me.\n\nI got the gazpacho soup of the day with toasted bread and goat cheese, beet and walnut burger, and cheese curds. How did a carnivore like me manage to order a vegetarian meal? I have absolutely no idea upon reflection, but whatever; it was all good.\n\nThe gazpacho soup of the day was good at best on its own, but that goat cheese was absolutely heavenly; and I've had my share of goat cheeses. Perfect for the warm day that it was.\n\nWho would've thought that the star of the meal was the cheese curds? Not me. But those cheese curds were better than Old Fashioned cheese curds; and that's saying something. Graze cheese curds are massive. There's just something about the bigger size and tangy dill sauce that kept my mouthgasm going on for a lot longer and repeatedly.\n\nThat beet and walnut burger also had some serious flavor. The patty had a surprisingly pleasant texture that definitely didn't really remind me of a normal burger, but it was sweet and fragrant while not being overwhelming. To be honest, it almost acted like a buffer between the other flavor explosions in within the burger. My only complaint was that the bun was loaded with grease (from what, even?? It was literally veggies, some sauces, and the patty), especially the bottom. Oil? I can tolerate, especially in a veggie burger. But having to hold the bottom bun coagulating not because of watery juices, but from oil, definitely took away from the experience.\n\nThe prices were also a touch high here. That walnut burger (alone) would probably have been more appropriately priced at $9, and the cheese curds a dollar or two lower.\n\nBut overall, a really solid place. Come if you're in the vicinity. Good food, good flavors, good ambience, and good service, for high-ish prices."
0,"The tacos were good!!........\n\nNow the problem! We went there to have some good Tequila \""Don Julio 1942\"" @ $25 a shot we were disappointed, not only was it awful it was served in a shot glass. I have had 1942 many times and never has it tasted bad, I mean bad. If you are paying $25 for a shot they should at least serve it in a tequila glass which most tequila bars have.  When we complained (with still 3/4 of the shot left) all they did was some out and show us the bottle it was in. I tried to force it down and almost got sick."
1,"Caribou Coffee on the U Pitt campus is fantastic! Good coffee, comfortable ambiance, and free wi-fi make it a great place to study with a cup of coffee. I love their rustic furniture. You MUST try their cold-pressed iced coffee with a shot of white chocolate. SO good."
0,Stayed at the Wynn for 4 days and came here 4 days in a row. Don't know why my parents like this place so much. Maybe its convenient? I think its way too overpriced. \n\nAlso probably had the worst milk tea here. Boba was hard and the tea was watery.
1,"We order take out from here all the time because it is consistently flavorful and you get a large amount of food for a relatively low price. One of my favorite things to get is the chicken fettuccine, but I order it with red sauce. Its so good and not as bad for you as white sauce. The chicken is good and there are alot of veggies too. My bf is a serious fan of the Steak Rustica sandwich. Their bread is to DIE for as well. I have liked everything that we have ever ordered. It is on our most visited list for sure. May even get it tonight. You should try it."
1,"Friendly service and fresh ingredients are the stars here.  I tried the special for the day, battered cod with 2 sides.  Our waitress explained that the cod was a fresh filet and hand battered.  I had it with steamed vegetables and clam chowder.  The clam chowder was also freshly made, and had nice large chunks of clam in it.  The chowder itself tasted a little too salty for me though.  The green beans were freshly steamed green beans, and they were a nice deep green color vs. the greyish mushy green beans you might usually see at restaurants.  \n\nService was excellent and drinks were refilled as needed.  Our waitress was very warm and friendly.  Sunny's Diner is hopefully here to stay for many years!"
0,"The gym isn't horrible, its actually quite clean. The equipment works for someone who just wants to do cario, or light weight lifting. Locker rooms are nice but I had the most annoying run in with the staff.\n\nI was wearing an small Nike bag, when I was using my cardio equipment, I put the bag over the cardio machine display - it wasn't on the floor nor in anyone's way including myself. An associate came over and told me it's against rules to have bags on the gym floor and in a polite A-holish way, asked me to put my bag in a locker. I didnt have a lock, but I also didn't want to leave since I was on 20 min into my workout so I went to the front desk to the guy who told me I needed to put it in a locker and asked him if I could borrow a lock and he said we don't have any to borrow but you can buy one for $7. It took everything in me not to cuss him out. Like really, you require things to be put in lockers but don't have locks people can borrow. He pretty much kicked me out of the gym because I wasn't paying for a lock and they wouldn't let me go and finish my workout.\n\nI found a gym like 5 min away that I am going to switch to -- I'll let everyone know about the cancellation policy. I heard it's light weight impossible."
0,greasier than most taco shops. \nprices a lil steeper but there is more flavor. \nthe staff had trouble getting my order correct.
1,"Great place for brekkie and people watching in Vegas! Corned beef hash was yummy, great home fries and also good biscuits and poached eggs"
0,"This place does a great job for standard car washes and light cleaning. When it comes to up selling these guys are total jerks. But, if you want to see total unprofessional conduct, up sell hype, and people being total jerks. Come in with a ding or scratch or light crack, or blemish on your windshield. These people will turn into total a crazed meth head looking for a hit!! How many times does it take for them to walk away???? Who knows, you literally have to walk away and hear the hackling from some jerk demanding your insurance information and saying you will get a free car wash. \nThey do great work for car washes, but their up selling and unprofessionalism towards their customers is unreal."
